destination,come_from,year,month,H_travellers,H_nights,H_avg_stay,R_travellers,R_nights,R_avg_stay,travellers,nights,avg_stay
Spain,Spain,2001,Jan,1876469.0,4371423.0,2.3296004357119675,43967.0,98256.0,2.234766984329156,1920436.0,4469679.0,2.3274292920982527
Spain,Spain,2001,Feb,2179135.0,4869295.0,2.234508187881889,59594.0,117510.0,1.9718428029667416,2238729.0,4986805.0,2.227516148671858
Spain,Spain,2001,Mar,2519243.0,5913829.0,2.3474627100283696,71449.0,134499.0,1.8824476199806854,2590692.0,6048328.0,2.3346380040545154
Spain,Spain,2001,Apr,3020317.0,7873787.0,2.6069405959705554,114480.0,328653.0,2.870833333333333,3134797.0,8202440.0,2.616577724171613
Spain,Spain,2001,May,2664737.0,6292310.0,2.361324963776913,65169.0,135102.0,2.0731022418634626,2729906.0,6427412.0,2.3544444387462424
Spain,Spain,2001,Jun,2946672.0,7446393.0,2.527051874114255,78638.0,164525.0,2.092181896792899,3025310.0,7610918.0,2.515748138207324
Spain,Spain,2001,Jul,3244732.0,9645273.0,2.9725946549668816,113700.0,391311.0,3.4416094986807386,3358432.0,10036584.0,2.988473192251622
Spain,Spain,2001,Aug,3917546.0,12873952.0,3.286228674787737,158525.0,739833.0,4.66697997161331,4076071.0,13613785.0,3.339928328039428
Spain,Spain,2001,Sep,3223605.0,8960900.0,2.779776058170899,93896.0,253393.0,2.6986559597852944,3317501.0,9214293.0,2.7774800972177554
Spain,Spain,2001,Oct,2859626.0,6752436.0,2.361300393827724,105092.0,238302.0,2.267556046131009,2964718.0,6990738.0,2.357977386044811
Spain,Spain,2001,Nov,2336166.0,5478825.0,2.3452207591412595,81135.0,193276.0,2.3821532014543663,2417301.0,5672101.0,2.3464603704710334
Spain,Spain,2001,Dec,2104053.0,4782544.0,2.273014985839235,101121.0,273132.0,2.701041326727386,2205174.0,5055676.0,2.2926426667464788
Spain,Spain,2002,Jan,1824018.0,4162060.0,2.281808622502629,46204.0,106005.0,2.294281880356679,1870222.0,4268065.0,2.282116775441632
Spain,Spain,2002,Feb,2163645.0,4878095.0,2.2545727233441717,69567.0,137122.0,1.9710782411200714,2233212.0,5015217.0,2.2457415596907055
Spain,Spain,2002,Mar,2863303.0,7167758.0,2.503318021180434,122265.0,335056.0,2.740408129881814,2985568.0,7502814.0,2.5130273368417666
Spain,Spain,2002,Apr,2626016.0,6502711.0,2.476264805698061,82509.0,183223.0,2.2206425965652232,2708525.0,6685934.0,2.4684778615667198
Spain,Spain,2002,May,2800938.0,6786378.0,2.4228947588272214,90606.0,206458.0,2.2786349689866015,2891544.0,6992836.0,2.4183744048162503
Spain,Spain,2002,Jun,2909167.0,7408601.0,2.5466399831979394,88806.0,198268.0,2.232596896606085,2997973.0,7606869.0,2.537337394299415
Spain,Spain,2002,Jul,3326284.0,9926692.0,2.9843188374774976,125306.0,426038.0,3.399980846886821,3451590.0,10352730.0,2.999408968040816
Spain,Spain,2002,Aug,4093306.0,13607146.0,3.3242435332222904,183821.0,839262.0,4.565648103317901,4277127.0,14446408.0,3.377596222885128
Spain,Spain,2002,Sep,3206586.0,9008303.0,2.809312770653898,102802.0,274594.0,2.6710958930760103,3309388.0,9282897.0,2.8050192361850588
Spain,Spain,2002,Oct,2841697.0,6663524.0,2.344910101252878,112914.0,226323.0,2.0043838673680856,2954611.0,6889847.0,2.33189648315802
Spain,Spain,2002,Nov,2363666.0,5460888.0,2.3103467241141513,94500.0,201090.0,2.127936507936508,2458166.0,5661978.0,2.3033342744143397
Spain,Spain,2002,Dec,2239496.0,5146230.0,2.2979411439002346,94500.0,201090.0,2.127936507936508,2333996.0,5347320.0,2.2910579109818525
Spain,Spain,2003,Jan,1866434.0,4476189.0,2.398257318501485,50644.0,120410.0,2.3775768106784616,1917078.0,4596599.0,2.3977109955880773
Spain,Spain,2003,Feb,2185902.0,4907859.0,2.2452328603935583,75161.0,130945.0,1.7421934247814692,2261063.0,5038804.0,2.2285111029635174
Spain,Spain,2003,Mar,2621941.0,6106543.0,2.329016175421186,93011.0,187422.0,2.015051983098773,2714952.0,6293965.0,2.3182601386691184
Spain,Spain,2003,Apr,3096315.0,7706675.0,2.488982871574759,133314.0,370859.0,2.7818458676508095,3229629.0,8077534.0,2.5010717949337216
Spain,Spain,2003,May,2987830.0,7106332.0,2.378425814052339,93198.0,238959.0,2.56399278954484,3081028.0,7345291.0,2.3840390285320354
Spain,Spain,2003,Jun,3268531.0,8085899.0,2.4738633349354804,97471.0,219791.0,2.2549373659857803,3366002.0,8305690.0,2.467523786379212
Spain,Spain,2003,Jul,3604009.0,10712570.0,2.9724037870049713,134652.0,450465.0,3.3454014793690403,3738661.0,11163035.0,2.9858377103460305
Spain,Spain,2003,Aug,4321876.0,14501388.0,3.3553456878448156,191124.0,930713.0,4.86968146334317,4513000.0,15432101.0,3.419477287835143
Spain,Spain,2003,Sep,3508436.0,9750160.0,2.7790616673640334,113595.0,308508.0,2.7158589726660503,3622031.0,10058668.0,2.7770794893804056
Spain,Spain,2003,Oct,2961468.0,7075513.0,2.3891911038714584,114491.0,239801.0,2.0944965106427578,3075959.0,7315314.0,2.3782222064728433
Spain,Spain,2003,Nov,2478930.0,5602497.0,2.2600464716631774,96667.0,199815.0,2.0670445963979436,2575597.0,5802312.0,2.2528027482560353
Spain,Spain,2003,Dec,2381098.0,5263796.0,2.21065911608846,129376.0,327689.0,2.532842258224091,2510474.0,5591485.0,2.2272626603581633
Spain,Spain,2004,Jan,2014826.0,4764150.0,2.364546615936066,66726.0,180006.0,2.697689056739502,2081552.0,4944156.0,2.3752257930621
Spain,Spain,2004,Feb,2548353.0,5686798.0,2.231558186797512,96549.0,190342.0,1.9714549089063584,2644902.0,5877140.0,2.222063426168531
Spain,Spain,2004,Mar,2886872.0,6658937.0,2.30662703438185,116986.0,252083.0,2.154813396474792,3003858.0,6911020.0,2.300714614339293
Spain,Spain,2004,Apr,3310414.0,8306562.0,2.5092215052256304,159557.0,428502.0,2.6855731807441856,3469971.0,8735064.0,2.5173305482956487
Spain,Spain,2004,May,3232971.0,7398208.0,2.288362005103046,113427.0,233007.0,2.0542463434631966,3346398.0,7631215.0,2.280426595999639
Spain,Spain,2004,Jun,3650036.0,8906012.0,2.4399792221227408,124093.0,286488.0,2.3086556050703906,3774129.0,9192500.0,2.435661314173416
Spain,Spain,2004,Jul,4051344.0,11777136.0,2.9069701313934337,153863.0,537927.0,3.4961426723773745,4205207.0,12315063.0,2.9285271807071567
Spain,Spain,2004,Aug,4762452.0,15791552.0,3.3158448631083317,218510.0,1068940.0,4.891950025170472,4980962.0,16860492.0,3.3849870767935992
Spain,Spain,2004,Sep,3866299.0,10391873.0,2.6878089356255166,125570.0,337443.0,2.6872899577924665,3991869.0,10729316.0,2.687792610428849
Spain,Spain,2004,Oct,3563172.0,8332309.0,2.338452648370609,164769.0,394418.0,2.3937633899580626,3727941.0,8726727.0,2.3408972942436588
Spain,Spain,2004,Nov,2670646.0,5981330.0,2.239656622405216,106177.0,214142.0,2.0168398052308882,2776823.0,6195472.0,2.231136806343076
Spain,Spain,2004,Dec,2654019.0,6048682.0,2.2790650707474214,142064.0,419333.0,2.951718943574727,2796083.0,6468015.0,2.3132414166532254
Spain,Spain,2005,Jan,2139281.0,5093502.0,2.380941073192348,67160.0,162065.0,2.413117927337701,2206441.0,5255567.0,2.3819204773660387
Spain,Spain,2005,Feb,2621061.0,5906300.0,2.253400435930335,90336.0,197379.0,2.184942879914984,2711397.0,6103679.0,2.251119625787002
Spain,Spain,2005,Mar,3391717.0,8291242.0,2.4445559579410663,161912.0,463972.0,2.865581303424082,3553629.0,8755214.0,2.4637388990240683
Spain,Spain,2005,Apr,3316778.0,7685716.0,2.317223522346084,131804.0,249743.0,1.89480592394768,3448582.0,7935459.0,2.3010788202223407
Spain,Spain,2005,May,3646228.0,8756351.0,2.401482024711565,132048.0,294388.0,2.2294014297831093,3778276.0,9050739.0,2.3954679329937782
Spain,Spain,2005,Jun,3865747.0,9591276.0,2.4810925288178454,134539.0,309317.0,2.299087996789035,4000286.0,9900593.0,2.474971289552797
Spain,Spain,2005,Jul,4366698.0,12921696.0,2.9591457893355573,188174.0,675178.0,3.5880514842645637,4554872.0,13596874.0,2.985127573288558
Spain,Spain,2005,Aug,4985733.0,16576635.0,3.3248140243370434,256934.0,1267731.0,4.934072563382036,5242667.0,17844366.0,3.4036809890843727
Spain,Spain,2005,Sep,4038043.0,11027323.0,2.730858239993977,150769.0,401429.0,2.6625433610357567,4188812.0,11428752.0,2.7283993647840963
Spain,Spain,2005,Oct,3628419.0,8569218.0,2.3616947215853514,162694.0,378027.0,2.323546043492692,3791113.0,8947245.0,2.360057587310112
Spain,Spain,2005,Nov,2898398.0,6405258.0,2.2099304512354756,124608.0,257787.0,2.0687837057010787,3023006.0,6663045.0,2.2041123967335823
Spain,Spain,2005,Dec,2702235.0,6050803.0,2.239184600895185,169426.0,431592.0,2.5473776161864174,2871661.0,6482395.0,2.2573677742602625
Spain,Spain,2006,Jan,2551856.0,5543720.0,2.172426657303547,91538.0,214552.0,2.343857195918635,2643394.0,5758272.0,2.1783631195349615
Spain,Spain,2006,Feb,3043034.0,6393933.0,2.101170410846543,114967.0,239301.0,2.081475553854584,3158001.0,6633234.0,2.1004534197424256
Spain,Spain,2006,Mar,3553339.0,7710448.0,2.1699162393455844,147768.0,306562.0,2.074616967137675,3701107.0,8017010.0,2.1661113823512803
Spain,Spain,2006,Apr,4390094.0,10332751.0,2.3536514252314413,247385.0,675067.0,2.7288113668977503,4637479.0,11007818.0,2.3736642257571408
Spain,Spain,2006,May,3947962.0,8883711.0,2.2502017496622306,145348.0,316619.0,2.1783512673032996,4093310.0,9200330.0,2.2476504344894472
Spain,Spain,2006,Jun,4371721.0,10342158.0,2.3656948830906637,161756.0,353097.0,2.182898934197186,4533477.0,10695255.0,2.3591726615134476
Spain,Spain,2006,Jul,4941982.0,13816338.0,2.7957078759088967,217720.0,735969.0,3.380346316369649,5159702.0,14552307.0,2.8203774171454086
Spain,Spain,2006,Aug,5553617.0,17367092.0,3.1271677539160514,295265.0,1409161.0,4.772529761400776,5848882.0,18776253.0,3.2102294079449716
Spain,Spain,2006,Sep,4563672.0,11628069.0,2.5479633505650714,179097.0,467547.0,2.6105797417042163,4742769.0,12095616.0,2.5503278780813488
Spain,Spain,2006,Oct,4146937.0,9331419.0,2.2501955057431546,198967.0,486912.0,2.447199786899335,4345904.0,9818331.0,2.259214883715793
Spain,Spain,2006,Nov,3254904.0,6951324.0,2.135646396944426,156988.0,331155.0,2.1094287461462025,3411892.0,7282479.0,2.1344400702015185
Spain,Spain,2006,Dec,3125022.0,6787290.0,2.1719175097007315,223436.0,598633.0,2.679214629692619,3348458.0,7385923.0,2.205768446251976
Spain,Spain,2007,Jan,2604319.0,5584479.0,2.1443145021788808,92597.0,210314.0,2.271283086925062,2696916.0,5794793.0,2.148673892698178
Spain,Spain,2007,Feb,3088894.0,6437950.0,2.084224968548613,127780.0,264708.0,2.071591798403506,3216674.0,6702658.0,2.0837231251908026
Spain,Spain,2007,Mar,3769341.0,8140429.0,2.1596424945368433,169901.0,340154.0,2.002071794751061,3939242.0,8480583.0,2.1528464105530962
Spain,Spain,2007,Apr,4450863.0,10676929.0,2.3988446734936573,269813.0,780927.0,2.894326811532432,4720676.0,11457856.0,2.4271642451208257
Spain,Spain,2007,May,4015617.0,8856229.0,2.2054466349753974,165399.0,352389.0,2.1305388787114796,4181016.0,9208618.0,2.202483319843789
Spain,Spain,2007,Jun,4658070.0,10850954.0,2.3294956924219687,191722.0,408773.0,2.132113163851827,4849792.0,11259727.0,2.3216927653804533
Spain,Spain,2007,Jul,5003539.0,13905160.0,2.779064977808707,229579.0,779978.0,3.3974274650556016,5233118.0,14685138.0,2.806192789843455
Spain,Spain,2007,Aug,5654061.0,17249956.0,3.0508966917760527,323574.0,1443893.0,4.462327010204776,5977635.0,18693849.0,3.127298505178051
Spain,Spain,2007,Sep,4604220.0,11609665.0,2.5215269904565814,187274.0,484586.0,2.587577560152504,4791494.0,12094251.0,2.5241085557030853
Spain,Spain,2007,Oct,4224929.0,9206010.0,2.1789738951826174,221486.0,521327.0,2.3537695384809876,4446415.0,9727337.0,2.1876808619978116
Spain,Spain,2007,Nov,3502020.0,7527475.0,2.149466593565999,175376.0,428421.0,2.4428713164857223,3677396.0,7955896.0,2.1634591433721035
Spain,Spain,2007,Dec,3064815.0,6551469.0,2.1376393028616736,227910.0,622713.0,2.73227589838094,3292725.0,7174182.0,2.178797804250279
Spain,Spain,2008,Jan,2673147.0,5661599.0,2.1179527351095917,94994.0,222154.0,2.33861085963324,2768141.0,5883753.0,2.1255250364775495
Spain,Spain,2008,Feb,3326713.0,7028946.0,2.112880191348036,146510.0,291846.0,1.991986895092485,3473223.0,7320792.0,2.107780583049231
Spain,Spain,2008,Mar,4097905.0,9562449.0,2.333496994195815,223082.0,661224.0,2.964040128741898,4320987.0,10223673.0,2.3660503954304883
Spain,Spain,2008,Apr,3744345.0,8471861.0,2.2625748962769188,170283.0,347275.0,2.0393991179389603,3914628.0,8819136.0,2.2528669390808016
Spain,Spain,2008,May,4226211.0,9512722.0,2.2508866689334726,188874.0,481692.0,2.550335144064297,4415085.0,9994414.0,2.263696848418547
Spain,Spain,2008,Jun,4443768.0,10443013.0,2.3500356004183836,191315.0,437415.0,2.2863601913075295,4635083.0,10880428.0,2.3474073711301395
Spain,Spain,2008,Jul,4977811.0,13599423.0,2.7320087082454516,236103.0,770555.0,3.2636391744281097,5213914.0,14369978.0,2.7560826664958418
Spain,Spain,2008,Aug,5584157.0,16843151.0,3.016238798443525,318734.0,1446976.0,4.539760427190071,5902891.0,18290127.0,3.0985032588269035
Spain,Spain,2008,Sep,4425435.0,11188118.0,2.5281397195981863,190899.0,485496.0,2.543208712460516,4616334.0,11673614.0,2.52876286681163
Spain,Spain,2008,Oct,3839709.0,8397307.0,2.186964428814788,206847.0,432702.0,2.0918940086150632,4046556.0,8830009.0,2.182104733012468
Spain,Spain,2008,Nov,3072911.0,6587614.0,2.1437698651213783,172383.0,344850.0,2.0004872870294634,3245294.0,6932464.0,2.136159004392206
Spain,Spain,2008,Dec,2829046.0,5892089.0,2.0827123348294796,220944.0,553669.0,2.505924578173655,3049990.0,6445758.0,2.113370207771173
Spain,Spain,2009,Jan,2331000.0,4971705.0,2.132863577863578,93478.0,251416.0,2.6895740174158624,2424478.0,5223121.0,2.1543280656702186
Spain,Spain,2009,Feb,2892445.0,6073570.0,2.09980483639274,129787.0,256989.0,1.9800827509688952,3022232.0,6330559.0,2.0946634805005044
Spain,Spain,2009,Mar,3292594.0,7385214.0,2.242977421449471,173301.0,377638.0,2.179087252814467,3465895.0,7762852.0,2.239782797805473
Spain,Spain,2009,Apr,3878166.0,9403135.0,2.4246344792873744,257825.0,695788.0,2.6986832153592553,4135991.0,10098923.0,2.441717837393747
Spain,Spain,2009,May,3939334.0,8823463.0,2.239836226123502,192493.0,423731.0,2.201280046547147,4131827.0,9247194.0,2.238039976020293
Spain,Spain,2009,Jun,4188954.0,9964518.0,2.3787604256337023,186232.0,426948.0,2.292559817861592,4375186.0,10391466.0,2.3750912532632897
Spain,Spain,2009,Jul,4888672.0,13703961.0,2.8032072922871487,257089.0,780128.0,3.03446666329559,5145761.0,14484089.0,2.8147613151873943
Spain,Spain,2009,Aug,5563505.0,17254353.0,3.101345824260066,326356.0,1478869.0,4.531459510473225,5889861.0,18733222.0,3.180588132725034
Spain,Spain,2009,Sep,4277206.0,10853013.0,2.5374071297945435,202160.0,504378.0,2.49494459833795,4479366.0,11357391.0,2.535490736858743
Spain,Spain,2009,Oct,3959267.0,8746561.0,2.2091364386387684,234174.0,537013.0,2.2932221339687584,4193441.0,9283574.0,2.2138320295909732
Spain,Spain,2009,Nov,2990558.0,6507151.0,2.175898611563461,172657.0,351492.0,2.035781926015163,3163215.0,6858643.0,2.1682506563733415
Spain,Spain,2009,Dec,2936381.0,6070229.0,2.0672484258684416,223319.0,578401.0,2.5900214491377804,3159700.0,6648630.0,2.1041966009431277
Spain,Spain,2010,Jan,2351307.0,5094546.0,2.1666868681971345,100003.0,257816.0,2.5780826575202744,2451310.0,5352362.0,2.183470062945935
Spain,Spain,2010,Feb,2943090.0,6272461.0,2.131250148653286,129096.0,259748.0,2.012053045795377,3072186.0,6532209.0,2.1262413799164506
Spain,Spain,2010,Mar,3543609.0,8051189.0,2.2720308589350573,194783.0,411382.0,2.11200156071115,3738392.0,8462571.0,2.263692785561279
Spain,Spain,2010,Apr,3877568.0,9575308.0,2.4694107234225164,201763.0,555229.0,2.7518871150805646,4079331.0,10130537.0,2.4833819565021815
Spain,Spain,2010,May,4042148.0,9281281.0,2.2961259706472896,186022.0,359912.0,1.9347819075163153,4228170.0,9641193.0,2.280228325729571
Spain,Spain,2010,Jun,4386962.0,10553831.0,2.4057265597468134,193096.0,423403.0,2.1927072544226704,4580058.0,10977234.0,2.396745630732187
Spain,Spain,2010,Jul,5002604.0,13912126.0,2.7809768672475377,238836.0,748181.0,3.1326140112880805,5241440.0,14660307.0,2.79699987026466
Spain,Spain,2010,Aug,5599468.0,17441176.0,3.1147916194895657,311780.0,1401639.0,4.495602668548336,5911248.0,18842815.0,3.18762044833849
Spain,Spain,2010,Sep,4307901.0,10944412.0,2.540543991145572,186492.0,442536.0,2.3729489736825173,4494393.0,11386948.0,2.533589741707056
Spain,Spain,2010,Oct,4186876.0,9311677.0,2.2240154712009623,252215.0,586830.0,2.3267053902424517,4439091.0,9898507.0,2.2298499850532463
Spain,Spain,2010,Nov,2990886.0,6480677.0,2.16680843067907,140270.0,281980.0,2.0102659157339415,3131156.0,6762657.0,2.1597956154212694
Spain,Spain,2010,Dec,3000911.0,6317606.0,2.1052293786786747,226249.0,613957.0,2.7136340934103576,3227160.0,6931563.0,2.147883278176477
Spain,Spain,2011,Jan,2358110.0,5089103.0,2.1581279075191575,88468.0,204466.0,2.3111859655468643,2446578.0,5293569.0,2.1636624706017957
Spain,Spain,2011,Feb,2994483.0,6357361.0,2.1230245755277286,128200.0,258876.0,2.019313572542902,3122683.0,6616237.0,2.118766778440207
Spain,Spain,2011,Mar,3380332.0,7754018.0,2.2938628513412294,154317.0,313202.0,2.0296014049003026,3534649.0,8067220.0,2.2823256283721522
Spain,Spain,2011,Apr,4088344.0,9878278.0,2.41620519212669,249151.0,613955.0,2.4641883837512193,4337495.0,10492233.0,2.4189614051428303
Spain,Spain,2011,May,3746751.0,8359843.0,2.231224599659812,177240.0,357226.0,2.0154931166779506,3923991.0,8717069.0,2.2214803754646737
Spain,Spain,2011,Jun,4430197.0,10605101.0,2.39382153886159,209044.0,457910.0,2.1904957807925602,4639241.0,11063011.0,2.384659688944808
Spain,Spain,2011,Jul,5093546.0,14101982.0,2.768598143611543,264501.0,820440.0,3.1018408247983937,5358047.0,14922422.0,2.7850487313754435
Spain,Spain,2011,Aug,5615032.0,17294136.0,3.0799710491409487,329230.0,1407791.0,4.276010691613766,5944262.0,18701927.0,3.1462151230884507
Spain,Spain,2011,Sep,4424189.0,11198508.0,2.5312001815473977,191872.0,438581.0,2.2857999082721814,4616061.0,11637089.0,2.5209998308081283
Spain,Spain,2011,Oct,3909150.0,8516886.0,2.1787053451517595,219542.0,475481.0,2.1657860454947118,4128692.0,8992367.0,2.178018365138402
Spain,Spain,2011,Nov,2891744.0,6287934.0,2.1744435192050195,154702.0,314614.0,2.0336776512262285,3046446.0,6602548.0,2.1672952679942465
Spain,Spain,2011,Dec,2893004.0,6081180.0,2.102029585856086,212325.0,496378.0,2.337821735546921,3105329.0,6577558.0,2.1181517320709013
Spain,Spain,2012,Jan,2390674.0,5075907.0,2.123211696785091,93046.0,211579.0,2.273918276981278,2483720.0,5287486.0,2.1288575201713558
Spain,Spain,2012,Feb,2898921.0,6183754.0,2.1331226342490877,121177.0,242716.0,2.0029873655891794,3020098.0,6426470.0,2.1279011475786547
Spain,Spain,2012,Mar,3344772.0,7541920.0,2.2548382969003566,164296.0,315116.0,1.9179773092467254,3509068.0,7857036.0,2.2390663275832785
Spain,Spain,2012,Apr,3877984.0,9338052.0,2.4079655821168937,244897.0,654763.0,2.673626055035382,4122881.0,9992815.0,2.4237456768701304
Spain,Spain,2012,May,3610640.0,7846939.0,2.1732820220237965,164201.0,325000.0,1.9792814903685119,3774841.0,8171939.0,2.1648432344567627
Spain,Spain,2012,Jun,4164269.0,9674462.0,2.3232077466657413,183083.0,374475.0,2.045383787680997,4347352.0,10048937.0,2.3115075567839916
Spain,Spain,2012,Jul,4578014.0,12610694.0,2.7546211086292005,237859.0,695715.0,2.9249050908311225,4815873.0,13306409.0,2.7630315417370848
Spain,Spain,2012,Aug,5213797.0,15488372.0,2.9706511396588704,313989.0,1265588.0,4.030676233880805,5527786.0,16753960.0,3.0308626274606145
Spain,Spain,2012,Sep,4020495.0,9962269.0,2.477871257146197,174868.0,395433.0,2.2613228263604546,4195363.0,10357702.0,2.4688452465257478
Spain,Spain,2012,Oct,3551117.0,7582005.0,2.135104250296456,211870.0,457177.0,2.157818473592297,3762987.0,8039182.0,2.136383144560425
Spain,Spain,2012,Nov,2730498.0,5488094.0,2.009924196977987,154721.0,351437.0,2.2714240471558482,2885219.0,5839531.0,2.0239472289625153
Spain,Spain,2012,Dec,2644571.0,5308780.0,2.007425779077211,216028.0,508761.0,2.355069713185328,2860599.0,5817541.0,2.033679309822873
Spain,Spain,2013,Jan,2107452.0,4468136.0,2.120160269367938,71387.0,155621.0,2.1799627383136984,2178839.0,4623757.0,2.1221196242586076
Spain,Spain,2013,Feb,2543898.0,5276907.0,2.074339065481399,99693.0,187970.0,1.885488449540088,2643591.0,5464877.0,2.0672172813419323
Spain,Spain,2013,Mar,3596941.0,8339921.0,2.3186149008282317,204041.0,514445.0,2.52128248734323,3800982.0,8854366.0,2.3294943254138007
Spain,Spain,2013,Apr,3107991.0,7172337.0,2.3077084200050773,127275.0,259726.0,2.0406678452170497,3235266.0,7432063.0,2.2972030738739875
Spain,Spain,2013,May,3678011.0,8196987.0,2.2286466788707266,158278.0,325174.0,2.0544485020028054,3836289.0,8522161.0,2.2214595928513208
Spain,Spain,2013,Jun,4109160.0,9356983.0,2.2771035929484373,186847.0,389560.0,2.084914395200351,4296007.0,9746543.0,2.2687446738331665
Spain,Spain,2013,Jul,4622498.0,12499139.0,2.7039793202722855,216001.0,645947.0,2.9904815255484927,4838499.0,13145086.0,2.7167693948061165
Spain,Spain,2013,Aug,5426618.0,15876358.0,2.9256450334259756,313224.0,1189338.0,3.7970845145965826,5739842.0,17065696.0,2.973199610720992
Spain,Spain,2013,Sep,4055351.0,9939148.0,2.450872439894845,172913.0,385335.0,2.2284906282350083,4228264.0,10324483.0,2.4417782333364237
Spain,Spain,2013,Oct,3529310.0,7608032.0,2.1556712218535634,182965.0,352630.0,1.927308501625994,3712275.0,7960662.0,2.1444160252136495
Spain,Spain,2013,Nov,2962040.0,6205146.0,2.094889333027238,178491.0,355939.0,1.9941565681182805,3140531.0,6561085.0,2.0891642209549914
Spain,Spain,2013,Dec,2830104.0,5694832.0,2.0122341793799805,198362.0,466570.0,2.352113812121273,3028466.0,6161402.0,2.0344960121724993
Spain,Spain,2014,Jan,2188084.0,4546501.0,2.0778457316995143,81781.0,172647.0,2.1110893728372115,2269865.0,4719148.0,2.0790434673427716
Spain,Spain,2014,Feb,2739686.0,5456934.0,1.991810010344251,113982.0,211023.0,1.8513712691477602,2853668.0,5667957.0,1.9862005671297431
Spain,Spain,2014,Mar,3161425.0,7037862.0,2.2261676301035136,139897.0,269885.0,1.9291693174263922,3301322.0,7307747.0,2.213582013508528
Spain,Spain,2014,Apr,3840663.0,9014634.0,2.34715568640102,216826.0,553201.0,2.5513591543449587,4057489.0,9567835.0,2.35806800708517
Spain,Spain,2014,May,3901968.0,8560446.0,2.193879088706007,192818.0,409074.0,2.1215550415417646,4094786.0,8969520.0,2.1904734459871653
Spain,Spain,2014,Jun,4270431.0,9869795.0,2.3111941160037475,193782.0,427290.0,2.2050035607022322,4464213.0,10297085.0,2.306584609650122
Spain,Spain,2014,Jul,4798578.0,12942831.0,2.697222177069957,249716.0,736580.0,2.9496708260584024,5048294.0,13679411.0,2.7097096563710434
Spain,Spain,2014,Aug,5684286.0,16450856.0,2.8940936469417617,358354.0,1294412.0,3.6121042321280075,6042640.0,17745268.0,2.9366746984761627
Spain,Spain,2014,Sep,4271468.0,10553437.0,2.470681508090427,196718.0,450421.0,2.289678626256875,4468186.0,11003858.0,2.4627126086514752
Spain,Spain,2014,Oct,3801189.0,8177902.0,2.151406309973011,211272.0,409407.0,1.9378194933545383,4012461.0,8587309.0,2.140160116198014
Spain,Spain,2014,Nov,2962597.0,6063282.0,2.046610456974067,175985.0,351867.0,1.999414722845697,3138582.0,6415149.0,2.043964121377106
Spain,Spain,2014,Dec,3062373.0,6055408.0,1.9773580814616638,225529.0,531683.0,2.3574928279733425,3287902.0,6587091.0,2.0034328882065218
Spain,Spain,2015,Jan,2393392.0,4981703.0,2.0814404827959647,98496.0,225725.0,2.291717430149448,2491888.0,5207428.0,2.0897520273784376
Spain,Spain,2015,Feb,2878965.0,5821275.0,2.022002698886579,131738.0,258574.0,1.9627897797142815,3010703.0,6079849.0,2.019411745363126
Spain,Spain,2015,Mar,3490443.0,7716464.0,2.210740585077596,175353.0,354224.0,2.0200623884393196,3665796.0,8070688.0,2.2016195118331736
Spain,Spain,2015,Apr,4031142.0,9487491.0,2.3535491927597687,246144.0,583360.0,2.3699947997919915,4277286.0,10070851.0,2.354495584349515
Spain,Spain,2015,May,4102767.0,8808445.0,2.14695228854088,218737.0,447049.0,2.043774029999497,4321504.0,9255494.0,2.141729823691011
Spain,Spain,2015,Jun,4587906.0,10571055.0,2.3041132490508742,221141.0,466602.0,2.1099750837700832,4809047.0,11037657.0,2.295185927690039
Spain,Spain,2015,Jul,5175659.0,13870398.0,2.6799288747577843,292593.0,840078.0,2.871148660425916,5468252.0,14710476.0,2.6901605851376273
Spain,Spain,2015,Aug,5945162.0,17276215.0,2.9059283834485923,391107.0,1427545.0,3.650011377960507,6336269.0,18703760.0,2.9518569997580597
Spain,Spain,2015,Sep,4504038.0,10930759.0,2.4268798353832715,229868.0,518521.0,2.2557337254424277,4733906.0,11449280.0,2.4185693590029036
Spain,Spain,2015,Oct,4137843.0,8586116.0,2.0750221794302006,267775.0,570610.0,2.130930818784427,4405618.0,9156726.0,2.078420326047333
Spain,Spain,2015,Nov,3055877.0,5860457.0,1.9177659964717166,188045.0,381350.0,2.027972027972028,3243922.0,6241807.0,1.9241544648730764
Spain,Spain,2015,Dec,3220404.0,6344526.0,1.9701025088777682,252332.0,600901.0,2.3813903904379945,3472736.0,6945427.0,1.9999870419173815
Spain,Spain,2016,Jan,2618022.0,5428798.0,2.0736258136868218,121372.0,279303.0,2.3012144481428995,2739394.0,5708101.0,2.083709389740943
Spain,Spain,2016,Feb,3191750.0,6510315.0,2.0397321218767135,151446.0,296423.0,1.9572851049218865,3343196.0,6806738.0,2.0359972912147537
Spain,Spain,2016,Mar,4110169.0,9419601.0,2.2917794864396086,257924.0,652660.0,2.530435322032847,4368093.0,10072261.0,2.305871463817277
Spain,Spain,2016,Apr,3755761.0,7980979.0,2.1249965053686855,213540.0,415196.0,1.9443476632012737,3969301.0,8396175.0,2.1152779796745067
Spain,Spain,2016,May,4197064.0,8999173.0,2.144159107414135,218423.0,444691.0,2.0359165472500607,4415487.0,9443864.0,2.13880462109842
Spain,Spain,2016,Jun,4723090.0,10350864.0,2.191544941976545,241883.0,519255.0,2.1467196950591814,4964973.0,10870119.0,2.1893611506044444
